District,Location,Types of Operating Hours,"For Vehicles Other Than Medium and Heavy Goods Vehicles, Buses, Motor Cycles and Pedal Cycles ",For Goods Vehicles,For Coaches
EASTERN,HEALTHY STREET EAST,D,18,0,0
EASTERN,HEALTHY STREET WEST,D,20,0,0
EASTERN,HEALTHY STREET EAST,D,7,0,0
EASTERN,HOI CHAK STREET,D,6,0,0
EASTERN,HOI CHAK STREET,H,0,2,2
EASTERN,HOI YU STREET,J,0,0,0
EASTERN,HOLY CROSS PATH,D,3,0,0
EASTERN,JAVA ROAD,D,13,0,0
EASTERN,KAM WA STREET,D,4,0,0
EASTERN,KAM WA STREET,H,0,2,0
EASTERN,KUT SHING STREET,H,0,8,2
EASTERN,LEE CHUNG STREET,D,3,0,0
EASTERN,LEI KING ROAD,D,7,0,2
EASTERN,LOK MAN ROAD,D,4,0,0
EASTERN,MANSION STREET,D,6,0,0
EASTERN,MARBLE ROAD,D,4,0,0
EASTERN,NGOI MAN STREET,D,12,0,0
EASTERN,NORTH POINT ROAD,D,14,0,0
EASTERN,NORTH POINT ROAD,J,3,0,0
EASTERN,OI TAK STREET,D,9,0,0
EASTERN,OI YIN STREET,D,2,0,0
EASTERN,OI YIN STREET,J,3,0,0
EASTERN,ON YIP STREET,D,1,0,0
EASTERN,ON YIP STREET,H,0,9,0
EASTERN,PAK FU ROAD C/P,D,17,0,0
EASTERN,SAI WAN HO STREET,D,12,0,0
EASTERN,SAN HA STREET,D,46,0,0
EASTERN,SHUN FU STREET,D,8,0,0
EASTERN,SUI MAN ROAD,D,7,0,0
EASTERN,SUN SING STREET,H,0,10,0
EASTERN,SUN YIP STREET,H,0,5,0
EASTERN,TAI FOO STREET,D,3,0,0
EASTERN,TAI HONG STREET,D,37,0,0
EASTERN,TAI NING STREET,D,2,0,0
EASTERN,TIGER BALM GARDEN C/P,D,0,0,0
EASTERN,TIN CHEONG STREET,D,4,0,0
EASTERN,TIN HAU TEMPLE ROAD LOWER,D,12,0,0
EASTERN,TIN HAU TEMPLE ROAD UPPER,D,26,0,7
EASTERN,TSAT TSZ MUI ROAD C/P,D,27,0,0
EASTERN,TSUI WAN STREET,D,6,0,0
EASTERN,TUNG HEI ROAD C/P 1,D,17,0,0
EASTERN,TUNG HEI ROAD C/P 2,D,21,0,0
EASTERN,TUNG WONG ROAD,H,0,0,2
EASTERN,WAI HANG STREET,D,0,0,0
EASTERN,WANG WA STREET,D,9,0,0
EASTERN,YUET YUEN STREET,D,9,0,0
YAU TSIM MONG,ARTHUR STREET,D,5,0,0
YAU TSIM MONG,BATTERY STREET,D,10,33,0
YAU TSIM MONG,BOWRING STREET,D,22,0,0
YAU TSIM MONG,CANTON ROAD ,D,55,22,0
YAU TSIM MONG,CHEONG LOK STREET,D,18,0,0
YAU TSIM MONG,CLIFF ROAD,D,11,0,0
YAU TSIM MONG,FERRY STREET C/P,D,40,0,0
YAU TSIM MONG,HAMILTON STREET,D,9,0,0
YAU TSIM MONG,HI LUNG LANE,D,9,0,0
YAU TSIM MONG,KWUN CHUNG STREET,D,28,2,0
YAU TSIM MONG,MAN CHEONG STREET,D,35,0,0
YAU TSIM MONG,MAN WAI STREET,D,22,0,0
YAU TSIM MONG,MAN WUI STREET,D,4,0,0
YAU TSIM MONG,MAN YING STREET,D,19,0,0
YAU TSIM MONG,MAN YUEN STREET,D,21,0,0
YAU TSIM MONG,MAU LAM STREET,D,2,0,0
YAU TSIM MONG,NANKING STREET,D,7,0,0
YAU TSIM MONG,PAK HOI STREET,D,4,0,1
YAU TSIM MONG,PARKES STREET,D,57,0,0
YAU TSIM MONG,PITT STREET,D,36,0,0
YAU TSIM MONG,PORTLAND STREET,D,28,5,0
YAU TSIM MONG,PUBLIC SQUARE STREET,D,8,0,0
YAU TSIM MONG,RECLAMATION STREET ,D,7,3,0
YAU TSIM MONG,SAIGON STREET,D,0,0,3
